q	t	sign	prime	exponent
10267	2083	+	37	1
10267	2083	-	31	1
10267	8183	-	17	1
10271	3602	-	11	1
10289	4244	+	11	1
10289	4244	-	11	1
10289	4244	-	17	1
10321	8228	-	41	1
10331	4581	-	17	1
10333	799	-	17	1
10333	9533	+	19	1
10357	3886	-	11	1
10357	6470	-	17	1
10357	6470	-	19	1
10391	1819	+	73	1
10391	1819	-	17	1
10391	2181	+	11	1
10391	8209	-	151	1
10391	8571	+	19	1
10433	4804	+	31	1
10433	4804	-	11	1
10457	3616	-	11	1
10457	6840	+	19	1
10457	6840	-	19	1
10501	691	+	19	1
10501	691	-	19	1
10513	2536	-	11	1
10513	2536	-	17	1
10513	2536	-	31	1
10513	7976	+	11	1
10513	7976	+	19	1
10589	7047	+	19	1
10597	2346	-	31	1
10607	53	+	19	1
10607	53	+	31	1
10607	53	+	37	1
10607	53	-	17	1
10607	53	-	19	1
10607	1395	+	11	1
10607	9211	-	19	1
10631	2163	+	11	1
10651	1518	-	11	1
10651	1518	-	17	1
10687	6849	+	11	1
10687	6849	-	17	1
10687	6849	-	19	1
10729	179	+	11	1
10729	179	-	19	1
10729	9852	+	11	1
10729	9852	-	19	1
10729	10549	+	11	1
10729	10549	+	19	1
10729	10549	-	11	1
10729	10549	-	19	1
10733	1876	-	17	1
10733	8856	-	11	1
10733	8856	-	331	1
10739	789	-	11	1
10739	9949	+	11	1
10739	9949	+	19	1
10739	9949	-	11	1
10739	9949	-	19	1
10739	9949	-	41	1
10771	10088	+	11	1
10771	10088	-	11	1
10847	5544	+	19	1
10847	10093	+	19	1
10847	10093	-	11	1
10867	917	-	11	1
10867	9949	+	19	1
10867	9949	+	37	1
10867	9949	-	19	1
10979	6615	+	11	1
10987	1899	+	11	1
10987	6722	-	19	1
10987	9087	+	19	1
11059	5312	-	19	1
11059	5563	+	19	1
11059	5563	-	37	1
11059	5746	+	19	1
11071	6868	+	11	1
11083	70	-	17	1
11087	1605	-	17	1
11087	9481	-	19	1
11113	7712	+	19	1
11113	7712	-	37	1
11117	2297	-	17	1
11117	2297	-	19	1
11213	5056	+	31	1
11213	5705	+	19	1
11243	145	-	17	1
11243	11097	+	19	1
11273	397	-	17	1
11273	1328	-	19	1
11273	10875	+	11	1
11279	1005	-	19	1
11279	10273	+	11	1
11287	3511	+	11	1
11287	3511	+	19	1
11287	3511	-	11	1
11287	3511	-	19	1
11287	5228	-	17	1
11317	8209	-	11	1
11369	9129	+	11	1
11369	9129	-	11	1
11369	9129	-	37	1
11383	1869	+	19	1
11383	9513	+	11	1
11383	9513	-	37	1
11437	139	+	19	1
11437	139	-	271	1
11443	9534	-	11	1
11447	2644	-	17	1
11447	5139	-	19	1
11447	6307	-	11	1
11447	8802	+	139	1
11447	8802	-	37	1
11467	4255	-	17	1
11467	4255	-	19	1
11519	1987	+	19	1
11519	9531	+	19	1
11519	9531	-	11	1
11549	10463	+	73	1
11549	10463	-	17	1
11551	1314	+	19	1
11551	10236	+	241	1
11551	10236	-	11	1
11597	1451	-	17	1
11657	3932	-	11	1
11657	3932	-	19	1
11657	7724	-	11	1
11657	7724	-	17	1
11677	8613	-	11	1
11677	8613	-	17	1
11677	8613	-	19	1
11701	1820	-	17	1
11701	1820	-	19	1
11701	9880	-	11	1
11731	9122	-	31	1
11743	10370	-	31	1
11833	1970	-	11	1
11833	1970	-	19	1
11833	9862	-	11	1
11833	9862	-	17	1
11839	3153	-	11	1
11839	3153	-	181	1
11887	3059	+	11	1
11887	3059	+	41	1
11887	3059	-	11	1
11887	3059	-	19	1
11887	3059	-	41	1
11903	3097	-	11	1
11903	3097	-	19	1
11939	2073	+	19	1
11939	2073	-	11	1
11939	2073	-	19	1
11939	3269	+	37	1
11939	3269	-	11	1
11939	8669	+	11	1
11939	8669	-	11	1
11939	9865	+	11	1
11939	9865	-	11	1
11939	9865	-	37	1
11959	1795	+	19	1
11959	10163	+	11	1
11971	3330	+	19	1
11971	3330	-	11	2
11971	3330	-	37	1
11971	4303	+	11	1
11971	4303	-	11	1
11971	4994	+	11	1
11971	4994	+	37	1
11971	4994	-	11	1
11971	6976	+	11	1
11971	7667	+	31	1
11971	7667	+	37	1
11971	8640	-	11	2
12043	435	+	19	1
12043	435	-	17	1
12049	4692	-	11	1
12049	7356	-	11	1
12101	5260	-	11	2
12101	6840	-	11	1
12109	2856	+	11	1
12109	2856	-	11	1
12119	2868	+	11	1
12149	1277	+	11	1
12149	1277	+	19	1
12149	1277	-	61	1
12149	1277	-	211	1
12211	5468	-	11	1
12211	6742	+	11	1
12239	5024	-	11	1
12239	7214	+	11	2
12239	7214	-	11	1
12239	7214	-	59	1
12241	2239	+	11	1
12241	2239	-	11	1
12241	2239	-	19	1
12241	10001	-	11	1
12253	9235	+	11	1
12253	9235	-	19	1
12269	3792	+	11	1
12269	3792	+	19	1
12269	8476	-	19	1
12277	5004	-	11	2
12277	5004	-	17	1
12281	598	+	19	1
12281	598	-	37	1
12281	11682	+	11	2
12301	3304	-	17	1
12301	8996	-	11	1
12329	11128	+	11	1
12343	5687	+	11	1
12343	5687	-	11	1
12379	4922	+	11	1
12379	4922	-	11	1
12379	4922	-	19	1
12379	7456	-	11	1
12401	2761	+	19	1
12401	2761	+	31	1
12401	2761	-	37	1
12401	5142	+	11	1
12401	5142	-	11	1
12401	7258	-	11	1
12401	7258	-	17	1
12401	9639	+	11	1
12401	9639	+	19	1
12409	5704	-	11	2
12409	5704	-	17	1
12413	422	+	11	1
12413	422	+	73	1
12413	422	-	73	1
12413	11990	+	11	1
12413	11990	+	41	1
12413	11990	-	11	1
12413	11990	-	41	1
12413	11990	-	59	1
12421	3635	+	37	1
12421	4678	+	11	2
