q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
227	73	-	1435	153	20	72d1e792c30adf0358a5d5ec94ad21b42ae247060a588a0e7a957fcde08ee67f	1	2375	19	19	1	false	false	0	0	true	NA
227	153	+	1515	2877	11	7838e40fe010c931b4e65c7b2bf0acc699aff7d1e9b630b3e487c426f6f8f3c5	1	5	1	1	0	false	false	0	0	true	NA
227	153	-	1515	73	11	7838e40fe010c931b4e65c7b2bf0acc699aff7d1e9b630b3e487c426f6f8f3c5	1	5	1	1	0	false	false	0	0	true	NA
233	39	+	1437	2835	15	998bd2eadf25d40e5a5ecdf359e6bb23610041072db052db6aa77df196a8dac1	1	125	1	1	0	true	false	0	0	true	0.00000000000000
233	39	-	1437	193	15	998bd2eadf25d40e5a5ecdf359e6bb23610041072db052db6aa77df196a8dac1	1	125	1	1	0	false	false	0	0	true	NA
233	193	+	1591	2989	11	1e830cf52c9f085b4c0916f25b07f2560e69372f941d5eba1e942bb9517f0e31	1	5	1	1	0	true	false	0	0	true	0.00000000000000
233	193	-	1591	39	11	1e830cf52c9f085b4c0916f25b07f2560e69372f941d5eba1e942bb9517f0e31	1	5	1	1	0	false	false	0	0	true	NA
241	89	+	1535	2981	13	f9904b7a9aa2ebbd36e10dc9b4687ba447b928eca1d37fe41721844b8b065b5b	1	25	1	1	0	true	false	0	0	true	0.00000000000000
241	89	-	1535	151	19	8df75a98031552cc89dc335f3db38cfa48ef360b2fcfecd43fabe5cdd9c9452b	1	1825	73	73	1	false	false	0	0	true	NA
241	151	+	1597	3043	17	ade28ffb3d021a7672256402bf98fb5c7e69765a806a229c726533eba458ba2a	1	475	19	19	1	true	false	0	0	true	0.270941260635018
241	151	-	1597	89	11	eb05de9e177acffa5fbc1f3dc76b6c409f2ac05f9930f18df490d498f5f25b62	1	5	1	1	0	false	false	0	0	true	NA
251	114	+	1620	3126	8	95811f41d3d5c58240be155bb7d1dcb8f47add7e3417c24e1d52d41653013926	1	1	1	1	0	true	false	0	0	true	0.00000000000000
251	114	-	1620	136	8	95811f41d3d5c58240be155bb7d1dcb8f47add7e3417c24e1d52d41653013926	1	1	1	1	0	false	false	0	0	true	NA
251	136	+	1642	3148	17	2576114c38275e525f9b8be26b1e88c99b65a1aaeae14046a075f54df00cab1f	1	475	19	19	1	true	false	0	0	true	0.268826675394193
251	136	-	1642	114	8	95811f41d3d5c58240be155bb7d1dcb8f47add7e3417c24e1d52d41653013926	1	1	1	1	0	false	false	0	0	true	NA
257	72	+	1614	3156	13	0ad8e0b335efc1a90ca24b03cc0a029557403f13b4f75d0c73014c8056680d71	1	19	19	19	1	true	false	0	0	true	0.270080554764789
257	72	-	1614	184	9	9dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2	1	1	1	1	0	false	false	0	0	true	NA
257	184	+	1726	3268	15	2f86e39b0fe2be69df9cee8beb44e5893fc0d8bdb7963f621ce7a1053cf5dca1	1	125	1	1	0	true	false	0	0	true	0.00000000000000
257	184	-	1726	72	9	9dcf97a184f32623d11a73124ceb99a5709b083721e878a16d78f596718ba7b2	1	1	1	1	0	false	false	0	0	true	NA
271	17	+	1643	3269	16	1282391882183418b5489cfe65740fe86f90a96a2e0466d055edd2ba470468ba	1	125	1	1	0	true	false	0	0	true	0.00000000000000
