q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
15443	13140	-	105798	2302	19	c7d338a77a67058ceede91e5b8062bd419526f17bd2044e5aae7f68ae3baa8d8	1	25	1	1	0	false	false	0	0	true	NA
15467	3666	+	96468	189270	14	08488b55c227bb59195403de2e83db907d398175aa7a3f27d6b6e7adfb2ec19e	1	1	1	1	0	true	false	0	0	true	0.00000000000000
15467	3666	-	96468	11800	23	949e5b9a7a145783ff3f4478f64454f64f47df9bb42e1feaf814c50e1c140049	1	275	11	11	1	false	false	0	0	true	NA
15467	11800	+	104602	197404	25	606e0eea3d6e3a743879912f5125294a46bab542d9a68efdbb4f7c5ff770a743	1	1375	11	11	1	true	false	0	0	true	0.124731010372197
15467	11800	-	104602	3666	29	61ba1b6abf6c0f905dbb42bd53ba3d1b442e7b3fb68fd1172442b867e99b0a35	1	19375	31	31	1	false	false	0	0	true	NA
15497	1189	+	94171	187153	26	996017166e3de97df820e5d4e22eb6e81544dda31586eaff393d4ec4fc2f1c83	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15497	1189	-	94171	14307	19	510d82df086bdb8dc8c79b405a8982edda1110de2e6c250c44003e39dc8c2aeb	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15497	14307	+	107289	200271	17	6abbc337d351669103cb61ccb5ce5b8720cdd811aff1f9a95a68f497168064b6	1	5	1	1	0	true	false	0	0	true	0.00000000000000
15497	14307	-	107289	1189	17	6abbc337d351669103cb61ccb5ce5b8720cdd811aff1f9a95a68f497168064b6	1	5	1	1	0	false	false	0	0	true	NA
15551	1926	+	95232	188538	31	2f9f1dc78d26e40400e289b94a063e53c1b5466f362d28980e209a913902452a	1	128125	41	41	1	true	false	0	0	true	0.195065537422297
15551	1926	-	95232	13624	19	e139cea9c30c04450519ee181c501d92e2f918c1c4319b1277c1e5c080b00fab	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15551	3953	+	97259	190565	30	86c5948e0bcba4cc69a71a856fc5ca55cb9f15facc45e8b852092845b00e7ce1	1	65875	31	31	1	true	false	0	0	true	0.179983721908247
15551	3953	-	97259	11597	28	a5751f5c8b6d169b9244bed7aa24540c32814456d93c6184c72611297e60cedb	1	10625	17	17	1	false	false	0	0	true	NA
15551	6475	+	99781	193087	24	549edf580a49ab4ccbc6beddb03a71d4d05d9ea6e8fa5773249cbc63c6c1f723	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15551	6475	-	99781	9075	21	32c7c7bb6e66f5fabef83d65e55233eefad29c569dca7a574a135f3314288bd1	1	125	1	1	0	false	false	0	0	true	NA
15551	9075	+	102381	195687	19	e139cea9c30c04450519ee181c501d92e2f918c1c4319b1277c1e5c080b00fab	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15551	9075	-	102381	6475	17	d060fcb969d4742b2f0dd122ac3d225f9f895958cf8fa66a1806f0a2a960d57a	1	5	1	1	0	false	false	0	0	true	NA
15551	11597	+	104903	198209	24	549edf580a49ab4ccbc6beddb03a71d4d05d9ea6e8fa5773249cbc63c6c1f723	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15551	11597	-	104903	3953	30	1c5a0d293221d82ad60f195e35ccd619c668a9b2fc7de7d089c5e17c9759c56b	1	53125	17	17	1	false	false	0	0	true	NA
15551	13624	+	106930	200236	26	b8320d75174c74180a878d112dc807bb7636153ef05926efba0c160301cc0194	1	3875	31	31	1	true	false	0	0	true	0.178220377755705
15551	13624	-	106930	1926	19	e139cea9c30c04450519ee181c501d92e2f918c1c4319b1277c1e5c080b00fab	1	25	1	1	0	false	false	0	0	true	NA
15559	1607	+	94961	188315	27	153f51dbfc99108b4d2ac6be4a04988195c6cbfa25acc14e67eb93b3618191b1	1	6875	11	11	1	true	false	0	0	true	0.126000818062256
15559	1607	-	94961	13951	29	f314a73d146945180b08f64541a17aba8549086d4bd1449bacedebd48b469802	1	34375	11	11	1	true	false	0	0	true	0.126000818062256
15559	13951	+	107305	200659	21	6728c8db2b2a621360de1abbb7675f2c173c399fb87f223489bc67cb731cf805	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15559	13951	-	107305	1607	17	8559125e678e7f383a27c7a6abb898aa5b8a1f9ee7a7fad057d786bb862c0629	1	5	1	1	0	false	false	0	0	true	NA
15569	2875	+	96289	189703	21	4c84c8e09bc62781d38aeb1206576cc64ea9f84ad76790e6b97515628bb6f58d	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15569	2875	-	96289	12693	28	e69f25387087b16c13befa05a90bb986708c6a5a1a5c2ab22078ef20989410d7	1	9125	73	73	1	false	false	0	0	true	NA
15569	6949	+	100363	193777	17	5c8693f78053e8eb8c187ecbd18fe49cdaeadd10a8df1d224af6a2a0b5c833f3	1	5	1	1	0	true	false	0	0	true	0.00000000000000
15569	6949	-	100363	8619	24	718b9aa6b8f496094a7db73922b561e3e56b891e4d91f9e6ae74fca6ea7ca2f8	1	625	1	1	0	false	false	0	0	true	NA
15569	8619	+	102033	195447	23	f0afa37eec238b53fa7e70a6d076601860dad26c97336d34dd7f4a40ff10d051	1	425	1	1	0	true	false	0	0	true	0.00000000000000
15569	8619	-	102033	6949	25	aab6f7561383a44b1878f497006412276adf5e8d7f0f69dc24273a6b57b90ca0	1	2125	17	17	1	false	false	0	0	true	NA
15569	12693	+	106107	199521	28	1d0ac6687cbcd80df1a049da7f9fbb268d4063d66902acfeed598fbc78c6dfee	1	11875	19	19	1	true	false	0	0	true	0.152934327170174
15569	12693	-	106107	2875	17	5c8693f78053e8eb8c187ecbd18fe49cdaeadd10a8df1d224af6a2a0b5c833f3	1	5	1	1	0	false	false	0	0	true	NA
15581	5401	+	98887	192373	26	c506ba3deeb002544a6261a2faf4afacf8f4e7f0b36c0a4fdde42a8b3c2d1d56	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15581	5401	-	98887	10179	25	1e27a78d09716b83ad926ee02cadf507b11cffd83c01906ebdfef35d0c65949b	1	2125	17	17	1	false	false	0	0	true	NA
15581	10179	+	103665	197151	26	c506ba3deeb002544a6261a2faf4afacf8f4e7f0b36c0a4fdde42a8b3c2d1d56	1	3125	1	1	0	true	false	0	0	true	0.00000000000000
15581	10179	-	103665	5401	26	c506ba3deeb002544a6261a2faf4afacf8f4e7f0b36c0a4fdde42a8b3c2d1d56	1	3125	1	1	0	false	false	0	0	true	NA
15607	7404	+	101046	194688	30	ae12b84c6ea35f44370c5c3244cfad38931ec34e5d772e90a0be1bb69750832f	1	45625	73	73	1	true	false	0	0	true	0.223985236559634
15607	7404	-	101046	8202	21	1e65135df7f2749cdc1fd91c12405322c62b2d069da850929585bbcd943b1dec	1	125	1	1	0	false	false	0	0	true	NA
15607	8202	+	101844	195486	31	4fd7f415700eac568b2d14f0984f190ac18fcc8a3e0a30b0214def2d141b03d9	1	116875	11	11	1	true	false	0	0	true	0.125080409826205
15607	8202	-	101844	7404	27	d534cf49002a6ea664ea013cbb2cbe2945faad7a86387a1a03af006e6f47585c	1	6875	11	11	1	false	false	0	0	true	NA
15619	1319	+	95033	188747	21	a30e8a05fda18338efce695958fddd002efb5e6e8bd92bfd5a656a0d68fef05d	1	85	1	1	0	true	false	0	0	true	0.00000000000000
15619	1319	-	95033	14299	22	6ace9e6c090cbd2a292f7ef848c7b938e18aa4f697efe8d43b1c10684561e948	1	185	37	37	1	true	false	0	0	true	0.189726126998346
15619	14299	+	108013	201727	21	bd60e8b531f717eb2aa8232ffa334748eeca875ef4d23406c437bed497726119	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15619	14299	-	108013	1319	19	fcf7bbaeefe0b3ad1d8b05f1bbd3b1767c667a9a54a16ddc223257365549c843	1	25	1	1	0	false	false	0	0	true	NA
15641	7705	+	101551	195397	23	216fafbb00946cd5db4b18bd84383edbb61652e5f7a83333396461a5c4754803	1	425	1	1	0	true	false	0	0	true	0.00000000000000
15641	7705	-	101551	7935	23	216fafbb00946cd5db4b18bd84383edbb61652e5f7a83333396461a5c4754803	1	425	17	17	1	false	false	0	0	true	NA
15641	7935	+	101781	195627	23	216fafbb00946cd5db4b18bd84383edbb61652e5f7a83333396461a5c4754803	1	425	1	1	0	true	false	0	0	true	0.00000000000000
15641	7935	-	101781	7705	32	3b5c1852793f0cb7633d645ecb7029ccddd2e3870b3f1106ff7902dc44cbcae7	1	213125	341	11*31	2	false	false	0	0	true	NA
15643	669	+	94527	188385	20	423303d4354c7b6f9166e23211dec373348ab221f8fde1138b26d87cd86b6069	1	55	11	11	1	true	false	0	0	true	0.126053650937815
15643	669	-	94527	14973	21	53cf974825fa85e9f512c39517e7893ac38e45b157e096e2c02accf354d363e7	1	125	1	1	0	true	true	0	0	true	0.00000000000000
15643	14973	+	108831	202689	21	d700777042c88fbb4054837afe25eaf6e5eb580550d02b1f70e5af0ffb957c9a	1	95	19	19	1	true	false	0	0	true	0.152531885537565
15643	14973	-	108831	669	21	53cf974825fa85e9f512c39517e7893ac38e45b157e096e2c02accf354d363e7	1	125	1	1	0	false	false	0	0	true	NA
15647	7687	+	101569	195451	28	92a07c3b817e68408050cb4747ec74b322eb6de4cc1b60f0910a1346a86a00c1	1	10625	1	1	0	true	false	0	0	true	0.00000000000000
15647	7687	-	101569	7959	28	92a07c3b817e68408050cb4747ec74b322eb6de4cc1b60f0910a1346a86a00c1	1	10625	17	17	1	false	false	0	0	true	NA
15647	7959	+	101841	195723	24	5274c0f42a02356aead465e106609dd65d762143c7341b85512e19c0e3772749	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15647	7959	-	101841	7687	27	35d1df4783dba5e3e7b0c87cee9c9ee5a1d82c7df0b837db3b899622ba60ddfe	1	4675	187	11*17	2	false	false	0	0	true	NA
15649	6311	+	100205	194099	24	551dd8fa57160682589366bc7995a117130c95d4168adb52a16e6e374f7869ca	1	775	31	31	1	true	false	0	0	true	0.179423876204818
15649	6311	-	100205	9337	32	6546401a1b20c4ca5942fed98f52a39150446076f6252d4ebb00dbf7d70779db	1	179645	35929	19*31*61	3	false	false	0	0	true	NA
15649	9337	+	103231	197125	19	74852cd26cf559b527e53bec90dc647025e58da36dad05b0c7f4414f0f5f3d5f	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15649	9337	-	103231	6311	19	74852cd26cf559b527e53bec90dc647025e58da36dad05b0c7f4414f0f5f3d5f	1	25	1	1	0	false	false	0	0	true	NA
