sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
+,1649287,733351,1544201,1363867,450182,-1,1,0,0,0,-1,-1,-1,-1
+,1651921,986444,1597601,1312364,40683,-1,1,0,2,0,1590738,604294,604294,2.9265
+,1651921,1230997,1597601,1556917,285236,-1,1,0,2,0,1590738,359741,359741,1.74217
-,1663589,5738,1621469,258458,-1,36381,0,1,4,0,83921,78183,78183,0.375973
+,1663919,705331,1575697,1234663,188298,-1,1,0,0,0,-1,-1,-1,-1
+,1663919,858066,1575697,1387398,341033,-1,1,0,0,0,-1,-1,-1,-1
+,1670687,253395,1503863,1254339,751420,-1,1,0,2,0,772167,518772,518772,1.24206
+,1675339,90305,1477937,1274717,981192,-1,1,0,0,0,-1,-1,-1,-1
-,1676713,47945,1457363,1364045,-1,171404,0,1,0,0,-1,-1,-1,-1
+,1679059,986163,1622233,1327119,45842,-1,1,0,0,0,-1,-1,-1,-1
+,1679059,1235434,1622233,1576390,295113,-1,1,0,0,0,-1,-1,-1,-1
+,1679417,19781,1485763,1181705,857866,-1,1,0,2,0,143921,124140,124140,0.295674
+,1680439,92778,1485719,1261098,943699,-1,1,0,0,0,-1,-1,-1,-1
-,1689211,128009,1514633,1175477,-1,46568,0,1,0,0,-1,-1,-1,-1
+,1691033,179456,1489751,1387148,1105089,-1,1,0,2,0,147763,31693,31693,0.0749672
+,1700807,254518,1499627,1461598,1169051,-1,1,0,0,0,-1,-1,-1,-1
+,1702249,316281,1576889,1068441,243712,-1,1,0,4,0,381950,65669,65669,0.617245
+,1702249,581016,1576889,1333176,508447,-1,1,0,4,0,679925,98909,98909,0.929678
-,1703957,125115,1515713,1254579,-1,63128,0,1,0,0,-1,-1,-1,-1
-,1706641,176086,1496567,1436530,-1,33987,0,1,0,0,-1,-1,-1,-1
-,1707767,70,1583929,743098,-1,123767,0,1,2,0,1420,1350,1350,0.00316202
+,1715237,369826,1606529,1022074,67793,-1,1,0,0,0,-1,-1,-1,-1
+,1715237,886487,1606529,1538735,584454,-1,1,0,0,0,-1,-1,-1,-1
+,1727779,88188,1504589,1427328,1261879,-1,1,0,4,0,751761,663573,663573,3.07249
+,1731407,119113,1586617,987853,269976,-1,1,0,2,0,162882,43769,43769,0.202236
+,1731407,447900,1586617,1316640,598763,-1,1,0,2,0,162882,285018,285018,1.31693
+,1734763,948859,1673923,1313899,5016,-1,1,0,0,0,-1,-1,-1,-1
+,1734763,1303866,1673923,1668906,360023,-1,1,0,0,0,-1,-1,-1,-1
-,1736729,150918,1531333,1383294,-1,54477,0,1,0,0,-1,-1,-1,-1
+,1743059,169016,1609879,968096,157297,-1,1,0,0,0,-1,-1,-1,-1
+,1743059,653501,1609879,1452581,641782,-1,1,0,0,0,-1,-1,-1,-1
-,1754147,91880,1591553,1067444,-1,70713,0,1,4,0,368130,276250,276250,1.25987
+,1762627,515771,1663381,1111247,43342,-1,1,0,2,0,268261,247510,247510,1.12337
+,1762627,1024562,1663381,1620038,552133,-1,1,0,2,0,1494365,469803,469803,2.13229
+,1765573,203410,1629623,1019110,205187,-1,1,0,2,0,161862,41548,41548,0.188258
+,1765573,608735,1629623,1424435,610512,-1,1,0,2,0,161862,446873,446873,2.02483
+,1765913,666617,1612601,1586489,893760,-1,1,0,0,0,-1,-1,-1,-1
+,1773319,255752,1627489,1130732,378223,-1,1,0,0,0,-1,-1,-1,-1
+,1773319,374285,1627489,1249265,496756,-1,1,0,0,0,-1,-1,-1,-1
+,1773847,207881,1625867,1095761,357774,-1,1,0,2,0,709270,501389,501389,2.26125
+,1773847,380212,1625867,1268092,530105,-1,1,0,2,0,709270,329058,329058,1.48404
+,1797319,1173820,1747661,1471768,22055,-1,1,0,0,0,-1,-1,-1,-1
+,1797319,1427657,1747661,1725605,275892,-1,1,0,0,0,-1,-1,-1,-1
+,1799887,485340,1624811,1535796,961441,-1,1,0,0,0,-1,-1,-1,-1
+,1803337,25407,1627693,1079271,505442,-1,1,0,0,0,-1,-1,-1,-1
+,1803337,68386,1627693,1122250,548421,-1,1,0,0,0,-1,-1,-1,-1
-,1807187,4028,1593833,1284152,-1,209325,0,1,2,0,174426,170398,170398,0.377156
+,1807769,28216,1587877,1347568,1079043,-1,1,0,0,0,-1,-1,-1,-1
+,1828153,24881,1661123,1027061,368118,-1,1,0,0,0,-1,-1,-1,-1
+,1828153,290824,1661123,1293004,634061,-1,1,0,0,0,-1,-1,-1,-1
+,1829143,648312,1664909,1633716,954211,-1,1,0,2,0,796832,148520,148520,0.324786
+,1831033,180554,1611187,1499630,1207519,-1,1,0,0,0,-1,-1,-1,-1
+,1831877,134980,1619507,1409200,1063913,-1,1,0,4,0,342281,207301,207301,0.905305
+,1833527,34725,1674209,990633,272332,-1,1,0,0,0,-1,-1,-1,-1
+,1833527,445968,1674209,1401876,683575,-1,1,0,0,0,-1,-1,-1,-1
-,1834403,30366,1577267,1573182,-1,226769,0,1,0,0,-1,-1,-1,-1
+,1839473,1250086,1781309,1599070,166745,-1,1,0,2,0,1720216,470130,470130,2.04463
+,1839473,1265579,1781309,1614563,182238,-1,1,0,2,0,1720216,454637,454637,1.97725
+,1840351,522358,1736213,1147186,35801,-1,1,0,2,0,661636,139278,139278,0.605441
+,1840351,1075583,1736213,1700411,589026,-1,1,0,2,0,1178714,103131,103131,0.44831
+,1854701,185695,1621469,1585087,1363010,-1,1,0,0,0,-1,-1,-1,-1
-,1855811,141985,1624811,1527985,-1,89014,0,1,2,0,742703,600718,600718,1.29478
+,1859687,386895,1681597,1455435,842378,-1,1,0,0,0,-1,-1,-1,-1
+,1862737,328817,1717829,1198265,349884,-1,1,0,0,0,-1,-1,-1,-1
+,1862737,498496,1717829,1367944,519563,-1,1,0,0,0,-1,-1,-1,-1
+,1871627,696443,1760021,1366079,275694,-1,1,0,0,0,-1,-1,-1,-1
+,1871627,814690,1760021,1484326,393941,-1,1,0,0,0,-1,-1,-1,-1
+,1878229,15508,1677323,1220944,749057,-1,1,0,0,0,-1,-1,-1,-1
+,1885243,1135062,1823963,1502742,46459,-1,1,0,2,0,1525124,390062,390062,1.65522
+,1885243,1409823,1823963,1777503,321220,-1,1,0,2,0,1525124,115301,115301,0.489278
-,1885601,60090,1771271,746070,-1,54239,0,1,2,0,793641,733551,733551,1.55611
-,1887131,7241,1714117,1045325,-1,165772,0,1,0,0,-1,-1,-1,-1
+,1888907,130041,1742579,1008009,143398,-1,1,0,2,0,464960,334919,334919,1.41847
+,1888907,721212,1742579,1599180,734569,-1,1,0,2,0,464960,256252,256252,1.08529
+,1912843,22578,1767091,897090,4511,-1,1,0,0,0,-1,-1,-1,-1
+,1912843,888067,1767091,1762579,870000,-1,1,0,0,0,-1,-1,-1,-1
+,1915777,16076,1743229,1051364,343423,-1,1,0,0,0,-1,-1,-1,-1
+,1915777,364517,1743229,1399805,691864,-1,1,0,0,0,-1,-1,-1,-1
+,1919459,319526,1783391,1135934,168951,-1,1,0,0,0,-1,-1,-1,-1
+,1919459,798031,1783391,1614439,647456,-1,1,0,0,0,-1,-1,-1,-1
+,1921393,324130,1792387,1098166,79815,-1,1,0,0,0,-1,-1,-1,-1
+,1921393,938535,1792387,1712571,694220,-1,1,0,0,0,-1,-1,-1,-1
+,1932859,63784,1770539,1037704,241085,-1,1,0,0,0,-1,-1,-1,-1
+,1932859,555533,1770539,1529453,732834,-1,1,0,0,0,-1,-1,-1,-1
+,1935893,602113,1765627,1623709,879678,-1,1,0,0,0,-1,-1,-1,-1
-,1946501,114779,1808077,945323,-1,23644,0,1,0,0,-1,-1,-1,-1
+,1946501,834370,1790149,1772482,920445,-1,1,0,0,0,-1,-1,-1,-1
+,1956439,752904,1863731,1309152,1669,-1,1,0,0,0,-1,-1,-1,-1
+,1956439,1305813,1863731,1862061,554578,-1,1,0,0,0,-1,-1,-1,-1
+,1963391,665978,1780837,1761302,1075789,-1,1,0,2,0,113486,552492,552492,1.12559
-,1965443,35434,1825489,875158,-1,104519,0,1,2,0,209328,173894,173894,0.353903
+,1966871,480692,1791773,1531280,790095,-1,1,0,0,0,-1,-1,-1,-1
-,1971503,84384,1762039,1341168,-1,125079,0,1,2,0,657503,573119,573119,1.16281
+,1982921,531411,1846837,1347915,317582,-1,1,0,0,0,-1,-1,-1,-1
+,1982921,712750,1846837,1529254,498921,-1,1,0,0,0,-1,-1,-1,-1
+,1996763,297231,1807499,1432815,760900,-1,1,0,2,0,406704,109473,109473,0.219301
+,2002249,899863,1897957,1525615,253410,-1,1,0,0,0,-1,-1,-1,-1
+,2002249,1018794,1897957,1644546,372341,-1,1,0,0,0,-1,-1,-1,-1
+,2009981,875568,1901329,1527480,278063,-1,1,0,0,0,-1,-1,-1,-1
+,2009981,971353,1901329,1623265,373848,-1,1,0,0,0,-1,-1,-1,-1
+,2010571,541503,1824577,1657467,948854,-1,1,0,6,0,467240,74263,74263,0.443235
-,2022791,12620,1846261,1071800,-1,163909,0,1,2,0,304937,292317,292317,0.578047
+,2026081,569758,1903921,1302718,131757,-1,1,0,2,0,588661,18903,18903,0.0746387
+,2026081,1039203,1903921,1772163,601202,-1,1,0,2,0,1437419,398216,398216,1.57236
-,2026841,126036,1879109,1012428,-1,21695,0,1,0,0,-1,-1,-1,-1
+,2027549,1172069,1960009,1577309,22540,-1,1,0,2,0,1734670,562601,562601,2.21983
+,2027549,1532228,1960009,1937468,382699,-1,1,0,2,0,1734670,202442,202442,0.798765
+,2028277,1575178,1989847,1805758,46491,-1,1,0,0,0,-1,-1,-1,-1
+,2028277,1712775,1989847,1943355,184088,-1,1,0,0,0,-1,-1,-1,-1
+,2028781,500360,1908997,1219064,28771,-1,1,0,0,0,-1,-1,-1,-1
+,2028781,1161521,1908997,1880225,689932,-1,1,0,0,0,-1,-1,-1,-1
-,2031983,14090,1754323,1680050,-1,263569,0,1,0,0,-1,-1,-1,-1
+,2032417,585374,1850803,1675058,913939,-1,1,0,4,0,597303,11929,11929,0.0469549
+,2036071,723856,1852637,1824460,1072427,-1,1,0,2,0,306164,417692,417692,0.820584
+,2036357,316345,1899101,1139881,64316,-1,1,0,0,0,-1,-1,-1,-1
+,2036357,1011248,1899101,1834784,759219,-1,1,0,0,0,-1,-1,-1,-1
-,2043539,172708,1841951,1382236,-1,28879,0,1,2,0,460522,287814,287814,0.563364
-,2069051,173758,1802407,1773622,-1,92885,0,1,0,0,-1,-1,-1,-1
+,2084287,1466303,2025211,1820759,150004,-1,1,0,4,0,1660989,194686,194686,1.4945
+,2084287,1520750,2025211,1875206,204451,-1,1,0,4,0,1660989,140239,140239,1.07654
-,2085929,68732,1899343,1188248,-1,117853,0,1,0,0,-1,-1,-1,-1
+,2091889,253477,1949341,1108765,14712,-1,1,0,0,0,-1,-1,-1,-1
