rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
173,9570713,699384,8586899,-,M+,2,230074,469310,469310,0.049036054053653057,4,284429,1984630,1700201
174,5484397,3269293,5194907,+,P,4,2999739,269554,269554,0.049149250136341333,4,188673,3646640,3457967
175,7794019,674021,6882937,-,M+,2,1058740,384719,384719,0.049360798324972005,6,237060,742423,505363
176,3494807,2073671,3317231,+,P,2,1896657,177014,177014,0.050650579559901307,4,178103,2429878,2251775
177,4595039,876427,4300801,+,P,2,642979,233448,233448,0.05080435661155433,4,1658945,4194318,2535373
178,4896491,140004,4424059,-,M+,4,389665,249661,249661,0.050987737953567154,4,332427,1449462,1117035
179,9412021,629161,8536183,-,M+,4,1112712,483551,483551,0.051375894720166904,4,246676,2651993,2405317
180,5797993,3354448,5571689,+,P,2,3056500,297948,297948,0.051388126891495037,4,859416,5073281,4213865
181,7436113,2758666,6888577,+,P,4,2375631,383035,383035,0.051510110187943624,6,844694,4448055,3603361
182,4660067,471991,4078457,+,P,2,713116,241125,241125,0.051742818289951628,6,116805,705602,588797
183,9941089,3255151,9223519,+,P,8,3777858,522707,522707,0.052580456728634054,10,1662947,6581046,4918099
184,3465851,613221,3136403,+,P,2,795944,182723,182723,0.0527209623264243,4,546493,1706208,1159715
185,5662733,334576,5028431,+,P,4,633831,299255,299255,0.052846390603265243,6,888042,2110661,1222619
186,1076381,800133,1038187,+,P,4,857838,57705,57705,0.053610199362493394,4,8889,817912,809023
187,5610433,3072286,5329981,+,P,4,3374248,301962,301962,0.053821514310927514,6,574982,4222251,3647269
188,1027739,165996,910619,+,P,2,221505,55509,55509,0.054010794569438351,4,41902,249801,207899
189,5610433,2539539,5329981,+,P,4,2236184,303355,303355,0.054069801742574947,6,1107729,4754998,3647269
190,1996763,297231,1807499,+,P,2,406704,109473,109473,0.05482523464226851,6,374683,1046598,671915
191,9780499,5945211,9313349,+,P,2,6481494,536283,536283,0.054831864918139656,4,565237,7075686,6510449
192,6825437,2820144,6354479,+,P,2,3196714,376570,376570,0.055171558978567965,4,708586,4237317,3528731
193,5561849,1629404,5118637,+,P,2,1322314,307090,307090,0.055213652869756082,4,829960,3289325,2459365
194,4000039,395836,3541877,+,P,2,174206,221630,221630,0.055406959782142128,6,397068,1189973,792905
195,5812199,4152460,5649649,+,P,2,4477478,325018,325018,0.055919971081513212,6,521888,5196237,4674349
196,1371137,86320,1191781,-,M-,4,163155,76835,76835,0.056037434625424008,4,29324,93035,63711
197,1840351,1075583,1736213,+,P,2,1178714,103131,103131,0.05603876651790881,4,35801,1147186,1111385
198,2239229,350178,2056741,+,P,2,224157,126021,126021,0.056278745943358181,4,611634,1573447,961813
199,5171801,2746243,4880021,+,P,4,3038407,292164,292164,0.056491732763886311,8,383097,3512438,3129341
200,4575833,613382,4174967,+,P,2,350695,262687,262687,0.057407470945727256,4,1156388,2926159,1769771
201,1702249,581016,1576889,+,P,4,679925,98909,98909,0.058104895347272929,4,243712,1068441,824729
202,4925017,1617302,4579451,+,P,2,1328770,288532,288532,0.058584975442724362,4,888752,3394807,2506055
203,4886333,2203307,4660933,+,P,4,1916597,286710,286710,0.058675902767985726,6,1105225,4413758,3308533
204,2891257,1869826,2787559,+,P,2,2040126,170300,170300,0.058901716450664887,4,295544,2460915,2165371
205,3311299,658539,2998097,+,P,2,463285,195254,195254,0.058965982836343078,4,460345,1579230,1118885
206,3919829,917532,3599137,+,P,6,1149542,232010,232010,0.059188806450485465,4,757452,2432437,1674985
207,8467253,1140957,7497401,+,P,2,1647209,506252,506252,0.059789402773248894,4,537331,2215620,1678289
208,2687329,1775531,2593529,+,P,2,1613572,161959,161959,0.06026764865783088,4,255197,2285926,2030729
209,2762167,447886,2486623,+,P,4,615131,167245,167245,0.060548475164608075,4,385472,1218831,833359
210,4603987,354877,4006091,+,P,2,634770,279893,279893,0.060793612145299283,4,63837,482552,418715
211,1885243,1409823,1823963,+,P,2,1525124,115301,115301,0.061159755002405523,12,46459,1502742,1456283
212,6741961,2236548,6310673,+,P,2,1823293,413255,413255,0.061295964186087695,6,1486396,5209341,3722945
213,4755857,721752,4365811,+,P,2,425867,295885,295885,0.062214864744671673,8,1303782,3329317,2025535
214,8665471,1568523,7693717,+,P,2,1025627,542896,542896,0.062650489511764565,4,294669,2157862,1863193
