q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
2028277,2,2,0,2,0,0,0,-1,-1,,0,1,0
2028781,2,2,0,2,0,0,0,-1,-1,,0,1,0
2031983,1,0,1,1,0,0,0,-1,-1,,0,1,0
2032417,1,1,0,1,4,0,0,11929,11929,0.0058693663751090454,1.968100050334159e-06,1,0
2036071,1,1,0,1,2,0,0,417692,417692,0.2051460877346615,9.8228401661828105e-07,1,0
2036357,2,2,0,2,0,0,0,-1,-1,,0,1,0
2043539,1,0,1,1,2,0,0,287814,287814,0.14084096266330126,9.7869431412857787e-07,1,0
2069051,1,0,1,1,0,0,0,-1,-1,,0,1,0
2084287,2,2,0,2,4,0,0,140239,140239,0.067283920112729198,3.8382430058816275e-06,1,0
2085929,1,0,1,1,0,0,0,-1,-1,,0,1,0
2091889,2,2,0,2,0,0,0,-1,-1,,0,1,0
2094637,2,2,0,2,0,0,0,-1,-1,,0,1,0
2106353,1,1,0,1,4,0,0,793473,793473,0.37670466441285005,1.8990169264126193e-06,1,0
2110099,2,2,0,2,2,0,0,213929,213929,0.1013833948075422,1.8956456545403794e-06,1,0
2114393,1,0,1,1,0,0,0,-1,-1,,0,1,0
2122961,1,0,1,1,0,0,0,-1,-1,,0,1,0
2135719,1,0,1,1,2,0,0,63388,63388,0.029679934485763341,9.3645278241191845e-07,1,0
2137999,1,1,0,1,0,0,0,-1,-1,,0,1,0
2146357,2,2,0,2,0,0,0,-1,-1,,0,1,0
2150719,1,1,0,1,0,0,0,-1,-1,,0,1,0
2151251,1,1,0,1,0,0,0,-1,-1,,0,1,0
2151791,1,1,0,1,0,0,0,-1,-1,,0,1,0
2155661,2,2,0,2,2,0,0,36950,36950,0.017140914086212999,1.8555793327429498e-06,1,0
2169031,1,1,0,1,0,0,0,-1,-1,,0,1,0
2173529,1,1,0,1,0,0,0,-1,-1,,0,1,0
2175947,1,1,0,1,0,0,0,-1,-1,,0,1,0
2179241,1,0,1,1,0,0,0,-1,-1,,0,1,0
2184331,1,1,0,1,2,0,0,189198,189198,0.086615993638326796,9.1561214852510906e-07,1,0
2184361,2,2,0,2,0,0,0,-1,-1,,0,1,0
2195243,1,0,1,1,0,0,0,-1,-1,,0,1,0
2206663,1,1,0,1,0,0,0,-1,-1,,0,1,0
2207897,2,2,0,2,0,0,0,-1,-1,,0,1,0
2217617,1,1,0,1,0,0,0,-1,-1,,0,1,0
2227889,2,2,0,2,0,0,0,-1,-1,,0,1,0
2230147,1,1,0,1,0,0,0,-1,-1,,0,1,0
2233031,1,1,0,1,4,0,0,86976,86976,0.038949750361728069,1.791287268291394e-06,1,0
2238359,1,1,0,1,2,0,0,656224,656224,0.2931719174627484,8.9351171996985288e-07,1,0
2239229,2,2,0,2,2,0,0,126021,126021,0.056278745943358181,1.7863291338224004e-06,1,0
2242781,2,2,0,2,0,0,0,-1,-1,,0,1,0
2242879,2,2,0,2,0,0,0,-1,-1,,0,1,0
2245043,2,2,0,2,4,0,0,144047,144047,0.064162245444742042,3.5634061352054283e-06,1,0
2249987,2,2,0,2,0,0,0,-1,-1,,0,1,0
2252161,1,1,0,1,0,0,0,-1,-1,,0,1,0
2266973,1,1,0,1,0,0,0,-1,-1,,0,1,0
2275769,1,0,1,1,0,0,0,-1,-1,,0,1,0
2276179,2,2,0,2,0,0,0,-1,-1,,0,1,0
2285911,2,2,0,2,0,0,0,-1,-1,,0,1,0
2290037,1,1,0,1,0,0,0,-1,-1,,0,1,0
2306671,1,0,1,1,2,0,0,566856,566856,0.24574635914701318,8.6705039426949049e-07,1,0
2307377,1,0,1,1,0,0,0,-1,-1,,0,1,0
2309921,1,0,1,1,2,0,0,880666,880666,0.38125373118820949,8.6583047645352373e-07,1,0
2318033,1,0,1,1,2,0,0,213445,213445,0.092080224914830811,8.6280048644691426e-07,1,0
2326963,2,2,0,2,4,0,0,95037,95037,0.040841646386298364,3.4379575438028024e-06,1,0
2329667,1,0,1,1,0,0,0,-1,-1,,0,1,0
2334949,2,2,0,2,0,0,0,-1,-1,,0,1,0
2343343,2,2,0,2,2,0,0,431625,431625,0.18419198555226443,1.7069630864965138e-06,1,0
2346733,2,2,0,2,0,0,0,-1,-1,,0,1,0
2350181,1,0,1,1,0,0,0,-1,-1,,0,1,0
2362331,2,2,0,2,2,0,0,247735,247735,0.10486887739271085,1.6932428182164142e-06,1,0
2389297,2,2,0,2,0,0,0,-1,-1,,0,1,0
2390743,1,1,0,1,0,0,0,-1,-1,,0,1,0
2391293,1,1,0,1,0,0,0,-1,-1,,0,1,0
2399611,1,1,0,1,0,0,0,-1,-1,,0,1,0
2400869,1,1,0,1,0,0,0,-1,-1,,0,1,0
2407333,1,1,0,1,0,0,0,-1,-1,,0,1,0
2415019,1,0,1,1,0,0,0,-1,-1,,0,1,0
2428787,2,2,0,2,4,0,0,62262,62262,0.025635018632757835,3.2938252716273596e-06,1,0
2435929,1,1,0,1,2,0,0,366023,366023,0.15026012662930652,8.2104199260323264e-07,1,0
2449303,1,0,1,1,0,0,0,-1,-1,,0,1,0
2449991,1,1,0,1,0,0,0,-1,-1,,0,1,0
2457641,2,2,0,2,4,0,0,343900,343900,0.13993093376941546,3.2551540277851809e-06,1,0
2462827,1,1,0,1,2,0,0,51305,51305,0.020831751479092928,8.1207490416501032e-07,1,0
