X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
64,9,731740009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,10,731740010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,11,731740011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,12,731740012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,13,731740013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,14,731740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,15,731740015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,16,731740016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,17,731740017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,18,731740018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,19,731740019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,20,731740020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,21,731740021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,22,731740022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,23,731740023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,24,731740024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,25,731740025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,26,731740026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,27,731740027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,28,731740028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,29,731740029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,30,731740030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,31,731740031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,32,731740032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,33,731740033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,34,731740034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,35,731740035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,36,731740036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,37,731740037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,38,731740038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,39,731740039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,40,731740040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
