X,set_label,p,q,r,M,rank,k,conjugate_k,a_mod_p,b_mod_q,c_mod_r,pair_contribution,abs_pair_contribution,hp_80_140_delta,cumulative_signed,cumulative_over_C,unseen_single_mode_bound,ranking_inclusion_margin,ranking_certified_tolerance
32,random_1,37,59,61,133163,3,16,133147,9,5,41,-0.0771551625838928684755901929265482211841486875,0.0771551625838928639700142753099498804658651352,1.0936957e-80,-0.102956764351547033764511240860883845016360283,1.60351246916316458879237,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,4,20,133143,2,21,36,0.0598408114614673484298815067611915117696746097,0.0598408114614673511399978167446533916518092155,2.5406768e-81,-0.0431159528900796826245134241162304533645510674,0.67151457715809126369777,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,5,26,133137,10,45,59,0.0530215386877776637089769148924692295019693758,0.0530215386877776612140067413747601676732301712,4.9281881e-81,0.00990558579769798032421679323533680872060358524,-0.1542757335179948674497297,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,6,4,133159,30,16,56,-0.0526810135081668679882599418019662204404309788,0.0526810135081668684531308599616750143468379974,2.4161622e-81,-0.0427754277104688898636375427031453000381588936,0.6662110269250489658077186,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,7,15,133148,20,1,27,0.0499363607356117729798917737793933512052273028,0.0499363607356117719660026921246753772720694542,4.7549646e-81,0.0071609330251428829697268874099336244398728013,-0.1115288098745148143153827,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,8,9,133154,12,36,4,0.0497698538804387612911009236110264027687441596,0.0497698538804387594081113377342262538149952888,2.9566038e-81,0.0569307869055816415104764871557563310489058495,-0.8866753656968383578984572,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,9,25,133138,21,41,45,-0.0475935314218821641087426214891067629464977681,0.0475935314218821625686928200593683868646621704,2.5099174e-80,0.00933725548369947720706019111958084977231919765,-0.1454242049094588706825704,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,10,1,133162,26,4,14,-0.0456613089794791146213935459931894045643890221,0.0456613089794791135456186736973904771730303764,3.0706799e-82,-0.0363240534957796346038350066010025329887866974,0.5657333258080120552691028,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,11,38,133125,26,34,44,-0.0307057986589849482693575261893415829125312309,0.0307057986589849493674897473738383268937468529,1.8807422e-80,-0.0670298521547645770324308500676124822348356247,1.043964468126890698940201,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,12,19,133144,13,17,22,-0.0274544313874178939495670720298870114030630646,0.0274544313874178942669335157233945210464298725,1.8452777e-81,-0.0944842835421824678299174138373928144574165344,1.471556801090952548705104,0.026388475528991637,0.0010659558584262575354,1
32,random_2,41,59,61,147559,1,13,147546,35,57,11,-0.0908349653518587248458320614363403095914576038,0.0908349653518587263345551718884962610900402069,3.7663834e-81,-0.0908349653518587263345551718884962610900402069,0.755212793123446135545862,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,2,28,147531,6,32,19,-0.0627715807281498601454577660539454978279828465,0.0627715807281498533454211496973584871739149094,1.3563925e-81,-0.153606546080008593557764129400311503559350967,1.277103241662158383817882,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,3,22,147537,34,42,28,0.0618059914522544910977784515912313217893584298,0.0618059914522544884274424248360446654260158539,3.505897e-81,-0.0918005546277541051303217045642668381333351135,0.7632408181381996614689456,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,4,9,147550,40,44,17,-0.0538186761187569595321710878538487198062477362,0.0538186761187569584485856921673985198140144348,5.4714464e-81,-0.145619230746511063578907396731665357947349548,1.210695744293690978565792,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,5,26,147533,29,55,22,0.0467821002470826027864056697975288383827284157,0.0467821002470826044494778273019619518890976906,2.1355435e-80,-0.0988371304994284660683234733369317837059497833,0.821743753626615114349363,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,6,15,147544,12,34,8,0.045436490114482223884465797181620509533113573,0.0454364901144822252998523026690236292779445648,4.001545e-81,-0.0534006403849462407684711706679081544280052185,0.4439793269417558474465579,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,7,5,147554,4,31,23,0.0417635288034605225888088704015740775291389005,0.0417635288034605214879668722005590097978711128,5.4802906e-82,-0.0116371115814857175457808224905420502182096243,0.09675234098785502612205534,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,8,35,147524,28,40,39,-0.0407498587630359181586716276982711659491864085,0.0407498587630359190847606498664390528574585915,9.2381086e-81,-0.0523869703445216383652649483337881974875926971,0.4355515526857825503448396,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,9,19,147540,7,47,2,0.0406731462882568881662338885693847007922736983,0.0406731462882568908789870931741461390629410744,3.9658067e-81,-0.0117138240562647509557248071132562472485005856,0.09739013770105760248174676,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,10,33,147526,10,4,42,-0.0387307132273959145280866525687065396835350066,0.0387307132273959145440933582449360983446240425,8.2995034e-81,-0.0504445372836606620303712134045781567692756653,0.4194019313184406128058868,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,11,6,147553,13,49,52,-0.0386749552906991190027816502460746650877179102,0.0386749552906991214684673252577340463176369667,1.4077443e-80,-0.0891194925743597765599446347550838254392147064,0.7409501467647032768581994,0.02638845860520431,0.008985067626392593404,1
32,random_2,41,59,61,147559,12,8,147551,31,26,49,-0.0353735262315969003802241340990416313542374452,0.0353735262315969037349994152918952750042080879,1.0493241e-80,-0.124493018805956673356050146139750722795724869,1.0350498851694929225431,0.02638845860520431,0.008985067626392593404,1
32,random_3,37,41,61,92537,1,7,92530,2,24,22,-0.134498168934583127813377533643672592399805589,0.134498168934583134381810509694332722574472427,4.1236155e-81,-0.134498168934583134381810509694332722574472427,1.042907412326086857845553,0.026388573166522915,0.0071051790262979634683,1
32,random_3,37,41,61,92537,2,17,92520,26,29,36,0.0932801609388953648234201135067261386916924424,0.0932801609388953650858766764031315688043832779,1.2895623e-80,-0.0412180079956877692959338332912011537700891495,0.3196070727247326548337014,0.026388573166522915,0.0071051790262979634683,1
32,random_3,37,41,61,92537,3,23,92514,33,32,20,0.0766751601969452934950738742195406348323528196,0.0766751601969452994955744884464365895837545395,2.3861953e-80,0.0354571522012575232607467512480070581659674644,-0.2749370280918189690666509,0.026388573166522915,0.0071051790262979634683,1
32,random_3,37,41,61,92537,4,24,92513,28,12,58,-0.068906731406262458653066833312333084701776747,0.0689067314062624530768275121772603597491979599,7.0343691e-81,-0.033449579205004936754974664836481679230928421,0.2593701785565227235785812,0.026388573166522915,0.0071051790262979634683,1
32,random_3,37,41,61,92537,5,10,92527,24,5,14,-0.0669333557365597905929200467920569230181923035,0.0669333557365597853205940737097989767789840698,3.1593301e-81,-0.100382934941564722075568738546280656009912491,0.7783757039289069812326716,0.026388573166522915,0.0071051790262979634683,1
32,random_3,37,41,61,92537,6,16,92521,31,8,59,-0.0578472681867613021535119387891586952402394711,0.0578472681867613011674755796320823719725012779,1.779035e-80,-0.158230203128326030181938222085591405630111694,1.226927124760005538561813,0.026388573166522915,0.0071051790262979634683,1
